[2025-05-03 13:27:48,556 18 root - INFO - Enter the try block]
[2025-05-03 17:05:54,584 18 root - INFO - Enter the try block]
[2025-05-03 17:05:59,150 18 root - INFO - Enter the try block]
[2025-05-03 17:56:49,965 59 root - INFO - inserted 11055 to mongo db]
[2025-05-03 21:21:03,871 12 root - INFO - DATA INGESTION STAGE started]
[2025-05-03 21:21:03,871 16 root - INFO - INITIATED DATA INGESTION COMPONENT]
[2025-05-03 21:21:05,800 58 root - INFO - Performed train test split on the dataframe]
[2025-05-03 21:21:05,800 59 root - INFO - Exited split_data_as_Train_test method of Data_Ingestion class]
[2025-05-03 21:21:05,800 62 root - INFO - Exporting train and test file path]
[2025-05-03 21:21:05,838 69 root - INFO - Exported train and test file path]
[2025-05-03 21:21:05,840 19 root - INFO - DATA INGESTION STAGE completed]
[2025-05-03 21:30:56,724 12 root - INFO - DATA INGESTION STAGE started]
[2025-05-03 21:30:56,724 16 root - INFO - INITIATED DATA INGESTION COMPONENT]
[2025-05-03 21:30:58,392 58 root - INFO - Performed train test split on the dataframe]
[2025-05-03 21:30:58,392 59 root - INFO - Exited split_data_as_Train_test method of Data_Ingestion class]
[2025-05-03 21:30:58,393 62 root - INFO - Exporting train and test file path]
[2025-05-03 21:30:58,429 69 root - INFO - Exported train and test file path]
[2025-05-03 21:30:58,430 19 root - INFO - DATA INGESTION STAGE completed]
[2025-05-03 21:31:13,169 12 root - INFO - DATA INGESTION STAGE started]
[2025-05-03 21:31:13,169 16 root - INFO - INITIATED DATA INGESTION COMPONENT]
[2025-05-03 21:31:14,633 58 root - INFO - Performed train test split on the dataframe]
[2025-05-03 21:31:14,633 59 root - INFO - Exited split_data_as_Train_test method of Data_Ingestion class]
[2025-05-03 21:31:14,633 62 root - INFO - Exporting train and test file path]
[2025-05-03 21:31:14,670 69 root - INFO - Exported train and test file path]
[2025-05-03 21:31:14,671 19 root - INFO - DATA INGESTION STAGE completed]
[2025-05-03 21:31:40,096 12 root - INFO - DATA INGESTION STAGE started]
[2025-05-03 21:31:40,096 16 root - INFO - INITIATED DATA INGESTION COMPONENT]
[2025-05-03 21:31:41,819 58 root - INFO - Performed train test split on the dataframe]
[2025-05-03 21:31:41,819 59 root - INFO - Exited split_data_as_Train_test method of Data_Ingestion class]
[2025-05-03 21:31:41,819 62 root - INFO - Exporting train and test file path]
[2025-05-03 21:31:41,855 69 root - INFO - Exported train and test file path]
[2025-05-03 21:31:41,855 19 root - INFO - DATA INGESTION STAGE completed]
